GenBank Name,Fig. 1,12S,16S,18S,28S,COI,cytb,H3,odh,opsin,pax
Abdopus aculeatus,,0,0,0,0,226088444,0,0,0,0,0
Abralia sp.,,0,0,0,0,4003399,0,0,0,0,0
Abralia trigonura,,0,498929,0,0,0,0,0,0,0,0
Abralia veranyi,_,0,209969975,209969995,209970067,209970147,0,209970192,0,0,0
Abraliopsis pacificus,_,48994429,48994456,0,0,0,0,0,0,48994597,48994547
Abraliopsis pfefferi,,0,0,49482097,49482150,0,0,50347033,0,0,0
Abraliopsis sp.,,0,498928,34369157,0,0,0,0,0,0,0
Abraliopsis sp. YJP 2002,,0,0,0,34369182,0,0,0,0,0,0
Adelieledone piatkowski,_,161611169,161611151,0,0,0,0,0,161611137,158828829,161611101
Adelieledone polymorpha,_,129279685,18076692,0,0,15421837,161598182,0,45510967,45511068,45511020
Adelieledone sp. AP 2001,,0,18027468,0,0,0,0,0,0,0,0
Afrololigo mercatoris,,0,93004770,0,0,194474586,0,0,0,194474656,0
Alloteuthis africana,,0,194474470,0,0,194474508,0,0,0,194474600,0
Alloteuthis media,,0,194474490,0,0,194474550,0,0,0,194474634,0
Alloteuthis subulata,,0,194474505,0,0,194474580,0,0,0,194474650,0
Alluroteuthis antarcticus,,0,0,0,0,4927135,0,0,0,0,0
Ameloctopus litoralis,,0,0,0,0,0,76359246,0,0,0,0
Amphioctopus aegina,,62005880,62005866,0,0,226088446,76359260,0,0,0,0
Amphioctopus fangsiao,,62005878,18076177,0,0,226088450,0,0,0,0,0
Amphioctopus kagoshimensis,,0,0,0,0,226088456,0,0,0,0,0
Amphioctopus marginatus,,0,18076181,0,0,207107966,76359294,0,0,0,0
Amphioctopus neglectus,,0,0,0,0,207107970,0,0,0,0,0
Amphioctopus ovulum,,0,0,0,0,207107972,0,0,0,0,0
Amphioctopus rex,,,,,0,207107968,0,0,0,0,0
Amphioctopus siamensis,,0,0,0,0,226088448,0,0,0,0,0
Amphitretus pelagicus,,0,0,0,0,15421823,0,0,0,0,0
Ancistrocheirus lesueuri,,0,0,0,49482149,4003401,0,0,0,0,0
Ancistroteuthis lichtensteinii,_,0,209969958,209970016,209970051,209970117,0,209970243,0,0,0
Aphrodoctopus schultzei,,0,18072925,0,0,0,0,0,0,0,0
Aphrodoctopus sp. JMS 2004,,48994441,48994448,0,0,0,0,0,0,0,0
Architeuthis dux,_,2127256204,2127256203,49482087,82622108,2127256201,2127256202,38607259,0,0,0
Architeuthis sp.,,0,498927,0,18072919,4003403,0,0,0,0,0
Architeuthis sp. ARL 2008,_,0,209969956,209969985,209970061,209970109,0,209970171,0,0,0
Architeuthis sp. JMS 2004,_,48994443,48994455,0,0,0,0,0,48994503,48994593,0
